"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 07:26:10 GMT 2024","Tue Feb 20 07:26:11 GMT 2024","1951","chromium","analytics_ua_test.spec.ts","User analytics test","","","Click Premium Join",""
"passed","Tue Feb 20 07:25:28 GMT 2024","Tue Feb 20 07:25:30 GMT 2024","2049","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click settings",""
"passed","Tue Feb 20 07:25:58 GMT 2024","Tue Feb 20 07:26:00 GMT 2024","1891","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show popup follow",""
"passed","Tue Feb 20 07:26:02 GMT 2024","Tue Feb 20 07:26:04 GMT 2024","2533","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Gift shop swipe",""
"passed","Tue Feb 20 07:25:36 GMT 2024","Tue Feb 20 07:25:39 GMT 2024","2424","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click followings",""
"passed","Tue Feb 20 07:25:59 GMT 2024","Tue Feb 20 07:26:01 GMT 2024","2460","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click share",""
"passed","Tue Feb 20 07:25:32 GMT 2024","Tue Feb 20 07:25:34 GMT 2024","1920","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click top gifters",""
"passed","Tue Feb 20 07:25:24 GMT 2024","Tue Feb 20 07:25:27 GMT 2024","2510","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show reason delete",""
"passed","Tue Feb 20 07:26:11 GMT 2024","Tue Feb 20 07:26:13 GMT 2024","1645","chromium","analytics_ua_test.spec.ts","User analytics test","","","Click Gift Shop",""
"passed","Tue Feb 20 07:25:39 GMT 2024","Tue Feb 20 07:25:41 GMT 2024","2268","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click start premium Gifts",""
"passed","Tue Feb 20 07:25:19 GMT 2024","Tue Feb 20 07:25:21 GMT 2024","1137","chromium","analytics_da_regression.spec.ts","Device analytics test","","","Click confirm number",""
"passed","Tue Feb 20 07:25:45 GMT 2024","Tue Feb 20 07:25:48 GMT 2024","2779","chromium","analytics_ua_regression.spec.ts","User analytics test","","","New stream started",""
"passed","Tue Feb 20 07:25:46 GMT 2024","Tue Feb 20 07:25:49 GMT 2024","2315","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show add sticker text",""
"passed","Tue Feb 20 07:25:22 GMT 2024","Tue Feb 20 07:25:23 GMT 2024","1088","chromium","analytics_da_regression.spec.ts","Device analytics test","","","Show mic access",""
"passed","Tue Feb 20 07:26:09 GMT 2024","Tue Feb 20 07:26:11 GMT 2024","2460","chromium","analytics_ua_test.spec.ts","User analytics test","","","Click Close Paying Menu",""
"passed","Tue Feb 20 07:26:04 GMT 2024","Tue Feb 20 07:26:07 GMT 2024","2422","chromium","analytics_ua_test.spec.ts","User analytics test","","","Click Follow Top",""
"passed","Tue Feb 20 07:25:51 GMT 2024","Tue Feb 20 07:25:54 GMT 2024","2571","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show end stream",""
"passed","Tue Feb 20 07:25:23 GMT 2024","Tue Feb 20 07:25:24 GMT 2024","1152","chromium","analytics_da_test.spec.ts","Device analytics test","","","Show Registration Modal",""
"passed","Tue Feb 20 07:25:40 GMT 2024","Tue Feb 20 07:25:42 GMT 2024","2166","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show popup end stream",""
"passed","Tue Feb 20 07:25:40 GMT 2024","Tue Feb 20 07:25:42 GMT 2024","1935","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show invites sent",""
"passed","Tue Feb 20 07:26:04 GMT 2024","Tue Feb 20 07:26:06 GMT 2024","2419","chromium","analytics_ua_test.spec.ts","User analytics test","","","Show create account success",""
"passed","Tue Feb 20 07:25:31 GMT 2024","Tue Feb 20 07:25:33 GMT 2024","2212","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Pageview referral program",""
"passed","Tue Feb 20 07:25:22 GMT 2024","Tue Feb 20 07:25:23 GMT 2024","958","chromium","analytics_da_regression.spec.ts","Device analytics test","","","Gift animation download success",""
"passed","Tue Feb 20 07:26:08 GMT 2024","Tue Feb 20 07:26:10 GMT 2024","1975","chromium","analytics_ua_test.spec.ts","User analytics test","","","Show Coin Shop",""
"passed","Tue Feb 20 07:25:50 GMT 2024","Tue Feb 20 07:25:53 GMT 2024","2953","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show beauty filter added",""
"passed","Tue Feb 20 07:25:31 GMT 2024","Tue Feb 20 07:25:33 GMT 2024","1888","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click redeem cash",""
"passed","Tue Feb 20 07:25:48 GMT 2024","Tue Feb 20 07:25:51 GMT 2024","2702","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show sticker added",""
"passed","Tue Feb 20 07:25:56 GMT 2024","Tue Feb 20 07:25:58 GMT 2024","1924","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Swipe tutorial",""
"passed","Tue Feb 20 07:25:34 GMT 2024","Tue Feb 20 07:25:36 GMT 2024","2440","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show gifts shop",""
"passed","Tue Feb 20 07:25:35 GMT 2024","Tue Feb 20 07:25:38 GMT 2024","2404","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Pageview coins shop",""
"passed","Tue Feb 20 07:25:57 GMT 2024","Tue Feb 20 07:25:59 GMT 2024","2083","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Stream swipe",""
"passed","Tue Feb 20 07:26:08 GMT 2024","Tue Feb 20 07:26:10 GMT 2024","2261","chromium","analytics_ua_test.spec.ts","User analytics test","","","Click Buy Pack",""
"passed","Tue Feb 20 07:26:09 GMT 2024","Tue Feb 20 07:26:11 GMT 2024","2140","chromium","analytics_ua_test.spec.ts","User analytics test","","","Page View Paying menu",""
"passed","Tue Feb 20 07:25:26 GMT 2024","Tue Feb 20 07:25:28 GMT 2024","2555","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Show confirm delete",""
"passed","Tue Feb 20 07:26:11 GMT 2024","Tue Feb 20 07:26:13 GMT 2024","2289","chromium","analytics_ua_test.spec.ts","User analytics test","","","Click Room Join",""
"passed","Tue Feb 20 07:25:31 GMT 2024","Tue Feb 20 07:25:34 GMT 2024","2453","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Pageview transactions history",""
"passed","Tue Feb 20 07:25:30 GMT 2024","Tue Feb 20 07:25:32 GMT 2024","1960","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Pageview my followings",""
"passed","Tue Feb 20 07:25:24 GMT 2024","Tue Feb 20 07:25:26 GMT 2024","2264","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click logout",""
"passed","Tue Feb 20 07:25:34 GMT 2024","Tue Feb 20 07:25:36 GMT 2024","2170","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click start stream",""
"passed","Tue Feb 20 07:25:21 GMT 2024","Tue Feb 20 07:25:22 GMT 2024","868","chromium","analytics_da_regression.spec.ts","Device analytics test","","","Start beauty filter download",""
"passed","Tue Feb 20 07:25:20 GMT 2024","Tue Feb 20 07:25:21 GMT 2024","1113","chromium","analytics_da_regression.spec.ts","Device analytics test","","","Click confirm code",""
"passed","Tue Feb 20 07:25:46 GMT 2024","Tue Feb 20 07:25:48 GMT 2024","2466","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click choose sticker",""
"passed","Tue Feb 20 07:25:39 GMT 2024","Tue Feb 20 07:25:42 GMT 2024","2310","chromium","analytics_ua_regression.spec.ts","User analytics test","","","Click invite top gifters",""
"passed","Tue Feb 20 07:25:18 GMT 2024","Tue Feb 20 07:25:19 GMT 2024","1163","chromium","analytics_da_regression.spec.ts","Device analytics test","","","Show idfa",""
"passed","Tue Feb 20 07:25:19 GMT 2024","Tue Feb 20 07:25:21 GMT 2024","1176","chromium","analytics_da_regression.spec.ts","Device analytics test","","","Show enter number",""
